article_id,inferred_date
9dd37039-80e2-43ea-8b0b-2aa44ecae78f,2016-08-01
e952e003-7c5a-4230-acf3-35ada31d1656,2016-08-01
b9927b4a-a64e-4850-bbaf-cb5f19e4077c,2016-08-01
5b090c24-5c8c-4f4a-b8ad-f9f9bedb7a83,2016-08-01
acf5f3c8-f8b0-4725-a87e-d155edc91475,2016-08-01
75ae1c94-1f5e-47c5-bdbb-838affa7aded,2016-08-01
71ec6676-5a8c-4bb6-a722-22b26fe47455,2016-08-01
c61e4d32-27db-4cbe-920a-6e2d92bf287f,2016-08-01
5b6e2a65-c47b-4409-b614-a4695920b462,2016-08-01
a3fae42f-7267-4371-940e-428f351bd51b,2016-08-01
c9b44075-5ddc-42ee-8131-28b18d83e5fd,2016-08-01
34db5b14-2114-49f7-96e9-d38f5de67286,2016-08-01
7dd5aa3a-bfa4-4320-9302-6c77c42f11e5,2016-08-01
4f7f1541-9371-4536-adb1-4da72659d05a,2016-08-01
dc3bf7e5-6eac-4d47-9a25-93bffe1b4b9a,2016-08-01
72181c58-c90a-4779-8289-dd49dec61c86,2016-08-01
2d124d65-984a-4d42-b812-4f5369cd75f7,2016-08-01
039f116b-acef-4cc0-9e45-17a5a89e6f6e,2016-08-01
ae318a38-3078-486b-8767-6e3de00f567f,2016-08-01
863b35b4-e06c-49f4-a7f9-4f1cadd1c47f,2016-08-01
d371237c-2394-4345-93b3-b6387516886b,2016-08-01
bd8aa72e-e2a2-4b47-a072-05b65f8aed9c,2016-08-01
d4d99d1c-c6b1-4ebe-8a5b-ba7d894a8153,2016-08-01
4d95f3c4-4f28-450b-bd74-2e256c1bb8aa,2016-08-01
5d81a823-a148-42fd-a6a0-07ef393f864a,2016-08-01
bb4e1ab0-ab8b-4515-840a-c3ffe1c05140,2016-08-01
fac839db-c78e-48d7-88d6-4e09f3088f61,2016-08-01
382b4e1b-2750-43b5-9451-05a7272a2104,2016-08-01
a99cac3b-1e20-4484-870d-cff5073a6e0d,2016-08-01
b684fa77-0a07-40e1-b41a-022c04be28d4,2016-08-01
6ebd6ea8-4f36-4535-b9af-8fa5f7bb6d5f,2016-08-01
3665f228-cc8a-4327-a897-4a20f675ddda,2016-08-01
